coefficient,coupling_row_norm,estimate,name,reporting_multiplier,se_ambient,se_fixed_range,se_fixed_rank,sensitivity_0,sensitivity_1,sensitivity_2,sensitivity_3,sensitivity_4
drink_gt2_1,0.4938862406448102,0.14752280965831724,skin_baseline_K2_bcc_first_cap730.5,1.0,0.0715289058375075,0.0706678523262337,0.0706678523262337,-0.0745041700015395,-0.4877933436389855,-0.004853973950854699,-0.010544239965506127,0.01719474316696431
sundamage_gt5_1,2.031543882319036,0.4876474960372125,skin_baseline_K2_bcc_first_cap730.5,1.0,0.20032155463776913,0.19368312125421033,0.19368312125421033,0.10668078142380989,2.0286735619596454,-0.0032271710037663913,0.009060259149438752,0.013447406446218028
treatment_0,0.4809876641449113,0.12542636911312707,skin_baseline_K4_bcc_first_cap730.5,1.0,0.052194543679637904,0.04991043706160613,0.04991043706160613,0.4808457796052573,0.0024491323417331844,0.002380196139794748,-0.001028486345479144,0.011124204615892828
baseline_Se20_0,0.044090553389300347,0.06790892239320348,skin_baseline_K4_bcc_first_cap730.5,1.0,0.018596967656323023,0.019301800618091707,0.019301800618091707,0.042667143576981585,0.0030504026750531096,-0.0016032406372843589,0.0011910121521775487,-0.010497519239722199
history_none_0,2.589333803553469,-1.2710029610030869,skin_baseline_K4_bcc_first_cap730.5,1.0,0.30275505117393026,0.2879351354734382,0.2879351354734382,2.5881541074902144,-0.008187440162935228,-0.07698926319967044,-0.0001557257018802325,0.010651621062629592
history_SCC_only_0,3.4123477212697075,-1.2209215468918861,skin_baseline_K4_bcc_first_cap730.5,1.0,0.10622027870000746,0.09205453254235485,0.09205453254235485,3.4115831942795127,0.004192983244436699,-0.07210011658203576,0.000983668546540187,-0.0003222432654516179
history_both_0,0.3502904482133616,-0.05973604824625013,skin_baseline_K4_bcc_first_cap730.5,1.0,0.10650316470192242,0.10575206999560184,0.10575206999560184,-0.34956156924229087,-0.01225623506172172,-0.018611959526135407,-0.00035195892006336814,0.0036555721867791986
AK_gt2_0,6.882034436290117,0.32337804188885494,skin_baseline_K4_bcc_first_cap730.5,1.0,0.09727117642798759,0.054270499768866845,0.054270499768866845,-6.882019853341213,0.0028256161907069337,-0.0002447264201454044,-0.0011173760653436292,0.01383574982642655
age10_0,0.30113500298358614,-0.04995942803511956,skin_baseline_K4_bcc_first_cap730.5,1.0,0.06482113362508944,0.06500500331333527,0.06500500331333527,-0.3009382191279346,-0.0020420733881075476,0.010676050320217415,-0.00013834056972681432,0.0005577075901984017
male_0,0.9714510646496913,0.2625211408663656,skin_baseline_K4_bcc_first_cap730.5,1.0,0.11084708594528564,0.11101232388653977,0.11101232388653977,0.9692682078104994,0.014567915717519973,0.06192360731182491,0.001143480453330168,-0.01372033084266836
