case,stratum,method,parameter,attempted,accepted,stratum_n,valid,covered,coverage,coverage_mcse,bias,empirical_sd,mean_se,median_se,sd_mean_se_ratio,sd_median_se_ratio
cf_rank_one,boundary,fixed_range,treatment_1,200,200,191,191,183,0.9581151832460733,0.014495075690177057,-0.0026827208871963047,0.1295656806406484,0.12202763923320413,0.12202766733919933,1.0617732298585119,1.0617729853058302
cf_rank_one,boundary,fixed_rank,FEV10_0,200,200,191,191,184,0.9633507853403142,0.013595897464935416,0.004088351780443273,0.03297978496651857,0.032342415344771294,0.032163573972104995,1.0197069271095833,1.02537687494311
cf_rank_one,boundary,fixed_rank,FEV10_1,200,200,191,191,180,0.9424083769633508,0.01685708762221099,-0.004959077507668102,0.02591617752839816,0.025974804226282105,0.0256384512401506,0.9977429397591138,1.0108324128336048
cf_rank_one,boundary,fixed_rank,treatment_0,200,200,191,191,182,0.9528795811518325,0.015332285509035502,-0.008152243581433504,0.15208239607059434,0.1586000433438607,0.15811683501840101,0.9589051356112466,0.9618355695830593
cf_rank_one,boundary,fixed_rank,treatment_1,200,200,191,191,183,0.9581151832460733,0.014495075690177057,-0.0026827208871963047,0.1295656806406484,0.12219591531984379,0.12208871544799844,1.0603110611472937,1.0612420661910777
skin_rich_design,all_accepted,ambient,AK_gt2_0,100,98,98,98,83,0.8469387755102041,0.03637018935823512,0.0025484740928826953,0.0829346285676179,0.09332064085507005,0.06855290093450551,0.888706161977799,1.2097902121874096
skin_rich_design,all_accepted,ambient,AK_gt2_1,100,98,98,98,76,0.7755102040816326,0.04214819911020688,0.020933627561236876,0.15475487412079975,0.13533948942447094,0.1058858631227001,1.1434569080974992,1.4615253590696091
skin_rich_design,all_accepted,ambient,age10_0,100,98,98,98,80,0.8163265306122449,0.039114891734690196,-0.0037862017244901167,0.03190788961461441,0.028410693569027017,0.027183319488755367,1.1230943566052183,1.173804017122096
skin_rich_design,all_accepted,ambient,age10_1,100,98,98,98,75,0.7653061224489796,0.04281100628451433,-0.01095458136310324,0.07552771133046275,0.05338266924023732,0.04982139151483597,1.4148357960626958,1.5159695270247895
skin_rich_design,all_accepted,ambient,baseline_Se20_0,100,98,98,98,89,0.9081632653061225,0.029172734834095482,-6.424739748076343e-05,0.028725095874341394,0.027755845926860517,0.02523113836091581,1.034920569527405,1.1384779974429486
skin_rich_design,all_accepted,ambient,baseline_Se20_1,100,98,98,98,82,0.8367346938775511,0.03733600138444809,0.007641517600815607,0.04798281480835199,0.04530118702687023,0.04312715245307235,1.059195530127967,1.1125894495483604
skin_rich_design,all_accepted,ambient,drink_gt2_0,100,98,98,98,88,0.8979591836734694,0.03057751743936302,-0.006123860533571084,0.06960114894470229,0.07241318716612684,0.06417376083156345,0.9611667662828691,1.084573321600772
skin_rich_design,all_accepted,ambient,drink_gt2_1,100,98,98,98,86,0.8775510204081632,0.033113168197086144,0.0027279073268504524,0.12661333961311547,0.11695935038500789,0.10911166095509482,1.0825414060212244,1.1604015419142368
skin_rich_design,all_accepted,ambient,history_SCC_only_0,100,98,98,98,79,0.8061224489795918,0.03993477414519745,-0.04163692276512092,0.1259226407793617,0.1138961520738088,0.09766653309397406,1.1055917033769436,1.2893120784598733
skin_rich_design,all_accepted,ambient,history_SCC_only_1,100,98,98,98,85,0.8673469387755102,0.03426431275085469,0.028885853515426056,0.15619981686580123,0.13775841114874182,0.12235825516424069,1.1338677294785846,1.2765776747644466
skin_rich_design,all_accepted,ambient,history_both_0,100,98,98,98,84,0.8571428571428571,0.03534797566467097,-0.003834345208902606,0.07874540932722379,0.06639170519761371,0.058265707001623146,1.1860730055485018,1.3514880944468781
skin_rich_design,all_accepted,ambient,history_both_1,100,98,98,98,87,0.8877551020408163,0.03188723448138099,0.025489384577477105,0.14530834228962217,0.12931754222961375,0.12556388792985534,1.1236553044877349,1.1572462806407906
skin_rich_design,all_accepted,ambient,history_none_0,100,98,98,98,82,0.8367346938775511,0.03733600138444809,-0.1107902075691826,0.36453435189668276,0.2793801653381919,0.2758048325823054,1.3047968221201784,1.3217112567739318
