case,parameter,estimate
skin_measured_K8_bcc_first_cap730.5,baseline_Se20_0,0.07473458907140909
skin_measured_K8_bcc_first_cap730.5,history_none_0,-1.2774835948166028
skin_measured_K8_bcc_first_cap730.5,history_SCC_only_0,-1.2255826339373075
skin_measured_K8_bcc_first_cap730.5,history_both_0,-0.061407789593767095
skin_measured_K8_bcc_first_cap730.5,AK_gt2_0,0.32318362810704876
skin_measured_K8_bcc_first_cap730.5,age10_0,-0.050716091240133925
skin_measured_K8_bcc_first_cap730.5,male_0,0.26344156932983576
skin_measured_K8_bcc_first_cap730.5,drink_gt2_0,0.15900479101498494
skin_measured_K8_bcc_first_cap730.5,sundamage_gt5_0,0.040060928009345284
skin_measured_K8_bcc_first_cap730.5,log_cell1_1,-3.5070007676433153
skin_measured_K8_bcc_first_cap730.5,log_cell2_1,-3.557338841313041
skin_measured_K8_bcc_first_cap730.5,log_cell3_1,-3.4282880204057906
skin_measured_K8_bcc_first_cap730.5,log_cell4_1,-3.569795561557407
skin_measured_K8_bcc_first_cap730.5,log_cell5_1,-3.5110156223183955
skin_measured_K8_bcc_first_cap730.5,log_cell6_1,-3.6138574252773052
skin_measured_K8_bcc_first_cap730.5,log_cell7_1,-3.8568787268424076
skin_measured_K8_bcc_first_cap730.5,log_cell8_1,-4.006150102685843
skin_measured_K8_bcc_first_cap730.5,selenium_change_1,0.23040255507148694
skin_measured_K8_bcc_first_cap730.5,baseline_Se20_1,-0.0572831911995214
skin_measured_K8_bcc_first_cap730.5,history_none_1,0.12212439405445144
skin_measured_K8_bcc_first_cap730.5,history_SCC_only_1,1.0059595536070827
skin_measured_K8_bcc_first_cap730.5,history_both_1,0.757812574663681
skin_measured_K8_bcc_first_cap730.5,AK_gt2_1,0.5908040445419024
skin_measured_K8_bcc_first_cap730.5,age10_1,0.15199599666928912
skin_measured_K8_bcc_first_cap730.5,male_1,0.6009114288789842
skin_measured_K8_bcc_first_cap730.5,drink_gt2_1,0.13934337729369004
skin_measured_K8_bcc_first_cap730.5,sundamage_gt5_1,0.4921228925006868
skin_measured_K8_bcc_first_cap730.5,sigma0,0.0
skin_measured_K8_bcc_first_cap730.5,sigma1,0.0
skin_measured_K8_bcc_first_cap730.5,nu0,0.9795321916198415
skin_measured_K8_bcc_first_cap730.5,nu1,1.787069782239516
skin_measured_K8_bcc_first_cap730.5,theta,0.2967870235634444
skin_measured_K4_scc_first_cap730.5,log_cell1_0,-1.260497054681126
skin_measured_K4_scc_first_cap730.5,log_cell2_0,-1.2074761592674306
skin_measured_K4_scc_first_cap730.5,log_cell3_0,-1.3153791399094807
skin_measured_K4_scc_first_cap730.5,log_cell4_0,-1.2954426038317248
skin_measured_K4_scc_first_cap730.5,selenium_change_0,0.04858259257523319
skin_measured_K4_scc_first_cap730.5,baseline_Se20_0,0.07538665191965094
skin_measured_K4_scc_first_cap730.5,history_none_0,-1.2704538971212587
skin_measured_K4_scc_first_cap730.5,history_SCC_only_0,-1.222750227790624
skin_measured_K4_scc_first_cap730.5,history_both_0,-0.06045871012958971
skin_measured_K4_scc_first_cap730.5,AK_gt2_0,0.3227952379170898
skin_measured_K4_scc_first_cap730.5,age10_0,-0.05040172470627147
skin_measured_K4_scc_first_cap730.5,male_0,0.2632799791987783
skin_measured_K4_scc_first_cap730.5,drink_gt2_0,0.15840392378118184
skin_measured_K4_scc_first_cap730.5,sundamage_gt5_0,0.04021218462954676
skin_measured_K4_scc_first_cap730.5,log_cell1_1,-3.5302476471748028
skin_measured_K4_scc_first_cap730.5,log_cell2_1,-3.4999460643281632
