case,comparison,parameter,n,risk_difference,MCSE
cf_long4,fallback - projected_initial,FEV10_0,100,-3.551370044548315e-05,1.826632569446619e-05
cf_long4,fallback - projected_initial,treatment_1,100,-0.0033896625291729605,0.0009048357820275275
cf_long4,fallback - projected_initial,FEV10_1,100,-0.0007356886518028435,0.00011821518875342999
cf_long4,fallback - projected_initial,nu0,100,-0.000857210754977123,0.0005750321643129887
cf_long4,fallback - projected_initial,nu1,100,-0.013375084511221125,0.0003191212361807035
cf_long4,fallback - projected_initial,theta,100,0.0007017972174989616,0.00010244208905467594
cf_long4,fallback - projected_initial,cumulative_relative_0,100,0.0039797691116902675,0.0004930027288882494
cf_long4,fallback - projected_initial,cumulative_relative_1,100,-0.5183239842012971,0.024357816531207242
cf_long4,fallback - projected_initial,baseline_relative_ISE_0,100,0.002671054699195063,0.0006241215415138463
cf_long4,fallback - projected_initial,baseline_relative_ISE_1,100,-0.5981248200334247,0.0285628770777336
cf_long4,fallback - projected_initial,prediction_mse,100,-0.07926588755138755,0.0009360291211127795
cf_long4,fallback - projected_initial,negative_prediction_fraction,100,0.0,0.0
cf_long16,coupled - initial,treatment_0,99,6.279469522817048e-05,0.00016105262093257434
cf_long16,coupled - initial,FEV10_0,99,0.00012676988875577594,1.59142178824325e-05
cf_long16,coupled - initial,treatment_1,99,-0.002539398980313309,0.0004796937911438356
cf_long16,coupled - initial,FEV10_1,99,-0.00036267170994146175,4.2262969628307045e-05
cf_long16,coupled - initial,nu0,99,0.003493439771882147,0.0003770415972043515
cf_long16,coupled - initial,nu1,99,-0.01948208122535789,0.0003726008796224289
cf_long16,coupled - initial,theta,99,-0.00017974439473037124,5.290549055405239e-05
cf_long16,coupled - initial,cumulative_relative_0,99,0.007613502146804598,0.0005585100545245211
cf_long16,coupled - initial,cumulative_relative_1,99,-0.07665555388460552,0.0032369037075468707
cf_long16,coupled - initial,baseline_relative_ISE_0,99,0.007450028952798509,0.0005627250406790118
