case,method,denominator,parameter,n,mean,mean_MCSE,truth,bias,bias_MCSE,RMSE,RMSE_MCSE,MSE,MSE_MCSE
skin_dynamic,initial,coupled_accepted,sigma0,100,-4.642709683703094e-05,0.00020669572097883524,0.002,-0.0020464270968370314,0.00020669572097883524,0.0029012846893564114,0.00011291033133516913,8.417452848693929e-06,6.551700311457713e-07
skin_dynamic,initial,coupled_accepted,sigma1,100,0.0002856736897159462,0.00020271839291863364,0.003,-0.0027143263102840536,0.00020271839291863364,0.0033817077423432215,0.00012507068864101538,1.1435947254624088e-05,8.459050322350403e-07
skin_dynamic,initial,coupled_accepted,nu0,100,0.3726839587056179,0.0017531388339113562,0.95,-0.5773160412943821,0.0017531388339113556,0.5775795076153087,0.0017449438144299368,0.3335980876171425,0.002015687578309643
skin_dynamic,initial,coupled_accepted,nu1,100,0.2953215449307242,0.002488431129566466,1.85,-1.5546784550692754,0.0024884311295664653,1.5548756012349552,0.0024820738971924913,2.417638135315763,0.007718632286413526
skin_dynamic,initial,coupled_accepted,theta,100,0.03459086022040095,0.001479878621705045,0.3,-0.26540913977959907,0.001479878621705045,0.26581727842882924,0.0014728204390240212,0.07065882551130973,0.0007830022414314375
skin_dynamic,initial,coupled_accepted,cumulative_relative_0,100,1.138240448831008,0.0057780368354879335,1.0,0.13824044883100803,0.0057780368354879335,0.14971842555461182,0.00599032352979925,0.02241560695055184,0.001793723614888577
skin_dynamic,initial,coupled_accepted,baseline_relative_ISE_0,100,0.029155317570805032,0.0018688866975392828,,,,,,,
skin_dynamic,initial,coupled_accepted,cumulative_relative_1,100,1.2582970623292988,0.008247933311133864,1.0,0.2582970623292989,0.008247933311133866,0.2710206346286791,0.00800251271416791,0.07345218439453198,0.00433769214883572
skin_dynamic,initial,coupled_accepted,baseline_relative_ISE_1,100,0.08574668833182349,0.00451136555104406,,,,,,,
skin_dynamic,initial,coupled_accepted,prediction_mse,100,0.8860385070462542,0.0028714949715512644,,,,,,,
skin_dynamic,initial,coupled_accepted,negative_prediction_fraction,100,0.0,0.0,,,,,,,
skin_dynamic,projected_initial,coupled_accepted,treatment_0,100,0.13730145812311398,0.006094826378338165,0.125,0.01230145812311396,0.006094826378338164,0.06187786212840025,0.004261631177634113,0.00382886982158131,0.0005274012529034713
skin_dynamic,projected_initial,coupled_accepted,age10_0,100,-0.05286897266118136,0.0030568905374851246,-0.05,-0.0028689726611813653,0.003056890537485124,0.030550685756444963,0.002559428406376894,0.0009333444001890491,0.0001563845859186784
skin_dynamic,projected_initial,coupled_accepted,measured_z_0,100,0.2585172549298647,0.0049167992904143275,0.25,0.008517254929864729,0.0049167992904143275,0.04965742887524454,0.0030166878257061576,0.00246586024249997,0.00029960192228763925
skin_dynamic,projected_initial,coupled_accepted,treatment_1,100,0.26088066313880054,0.009087743102913454,0.246,0.014880663138800564,0.009087743102913454,0.0916381718019353,0.005477424904706206,0.00839755453120101,0.0010038824088993328
skin_dynamic,projected_initial,coupled_accepted,age10_1,100,0.14693918047120114,0.004959546372561115,0.156,-0.009060819528798884,0.004959546372561115,0.05017181850870358,0.004343110390354427,0.002517211372470291,0.0004358034925362541
skin_dynamic,projected_initial,coupled_accepted,measured_z_1,100,-0.19821631123365754,0.008114781631495867,-0.2,0.0017836887663424338,0.008114781631495867,0.08076075753343694,0.005086779280678878,0.00652229995737459,0.0008216242962260352
skin_dynamic,projected_initial,coupled_accepted,sigma0,100,0.0007706449053393492,0.00014904475708106974,0.002,-0.0012293550946606512,0.00014904475708106974,0.0019262745314441168,8.127595005074818e-05,3.710533570490251e-06,3.1311958520336077e-07
